year,month,day,hour,created,source,favoriteCount,retweetCount,picture,exclamation,hashtag
2017,1,17,9,1/17/2017 14:36,Android,57183,10622,No picture/link,No,No
2017,1,17,9,1/17/2017 14:30,Android,60107,11233,No picture/link,No,No
2017,1,17,8,1/17/2017 13:11,Android,108732,25013,No picture/link,No,No
2017,1,17,8,1/17/2017 13:05,Android,122835,25492,No picture/link,Yes,No
2017,1,16,21,1/17/2017 2:08,Android,47744,8329,No picture/link,No,No
2017,1,16,20,1/17/2017 1:49,Android,59237,11803,No picture/link,Yes,No
2017,1,16,20,1/17/2017 1:42,Android,62267,12738,No picture/link,Yes,No
2017,1,16,8,1/16/2017 13:54,Android,164089,38837,No picture/link,Yes,No
2017,1,15,19,1/16/2017 0:29,Android,60174,14305,No picture/link,Yes,No
2017,1,15,19,1/16/2017 0:16,Android,46272,11681,No picture/link,No,No
2017,1,15,17,1/15/2017 22:46,Android,86470,19299,No picture/link,Yes,No
2017,1,15,15,1/15/2017 20:13,Android,71772,15617,No picture/link,No,No
2017,1,15,15,1/15/2017 20:04,Android,71022,16429,No picture/link,No,No
2017,1,15,14,1/15/2017 19:00,Android,130506,30204,No picture/link,Yes,No
2017,1,15,9,1/15/2017 14:02,Android,79850,15536,No picture/link,Yes,No
2017,1,15,8,1/15/2017 13:59,Android,80707,16499,No picture/link,No,No
2017,1,14,20,1/15/2017 1:58,Android,123712,25782,No picture/link,Yes,No
2017,1,14,19,1/15/2017 0:22,Android,97355,22567,No picture/link,Yes,No
2017,1,14,8,1/14/2017 13:14,Android,70012,19483,No picture/link,Yes,No
2017,1,14,8,1/14/2017 13:07,Android,78569,16968,No picture/link,Yes,No
2017,1,14,7,1/14/2017 12:50,Android,89870,21524,No picture/link,No,No
2017,1,13,6,1/13/2017 11:33,Android,132335,30771,No picture/link,Yes,No
2017,1,13,6,1/13/2017 11:25,Android,68708,13733,No picture/link,Yes,No
2017,1,13,6,1/13/2017 11:22,Android,59292,13030,No picture/link,No,No
2017,1,13,6,1/13/2017 11:16,Android,54886,12225,No picture/link,Yes,No
2017,1,13,6,1/13/2017 11:11,Android,55727,12715,No picture/link,Yes,No
2017,1,13,6,1/13/2017 11:05,Android,74061,17644,No picture/link,No,No
2017,1,13,5,1/13/2017 10:49,Android,82489,16990,No picture/link,Yes,No
2017,1,12,12,1/12/2017 17:41,iPhone,87704,19774,No picture/link,Yes,Yes
2017,1,12,9,1/12/2017 14:22,Android,130455,36202,No picture/link,Yes,No
2017,1,12,8,1/12/2017 13:50,Android,94396,21916,No picture/link,No,No
2017,1,12,7,1/12/2017 12:23,Android,73173,17556,No picture/link,Yes,No
2017,1,11,23,1/12/2017 4:24,Android,53317,9576,No picture/link,Yes,No
2017,1,11,23,1/12/2017 4:01,Android,120294,28863,No picture/link,No,No
2017,1,11,7,1/11/2017 12:48,Android,110330,32172,No picture/link,No,No
2017,1,11,7,1/11/2017 12:44,Android,117595,29361,No picture/link,Yes,No
2017,1,11,7,1/11/2017 12:31,Android,87215,23749,No picture/link,Yes,No
2017,1,11,7,1/11/2017 12:13,Android,67615,17905,No picture/link,Yes,No
