Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2016,34,5.7242731,5.55464,5.93664,49491,2827,6
2016,35,5.79914849,5.57136,5.95305,49559,2869,5
2016,36,5.766233766,5.60322,5.9846,50050,2881,5
2016,37,6.213919179,5.64968,6.03077,49888,3092,8
2016,38,6.066622546,5.70999,6.09078,49863,3016,9
2016,39,5.965038028,5.78321,6.1637,50226,2985,11
2016,40,5.917274939,5.86819,6.24839,51375,3022,18
2016,41,6.146699173,5.96364,6.34355,52093,3191,11
2016,42,6.190920761,6.06811,6.44773,51414,3176,7
2016,43,6.071773104,6.18001,6.55934,51830,3130,17
2016,44,6.022349393,6.29766,6.67671,51724,3099,16
2016,45,6.146081326,6.41931,6.79807,52505,3208,19
2016,46,5.985625515,6.54313,6.92161,53428,3191,7
2016,47,6.170004517,6.66727,7.04548,53128,3256,22
2016,48,6.502143564,6.7899,7.16782,54582,3515,34
2016,49,6.61794044,6.90918,7.28683,55138,3616,33
2016,50,6.833973386,7.02334,7.40071,55985,3780,46
2016,51,6.752587316,7.1307,7.50779,56719,3738,92
2016,52,7.398791751,7.22964,7.60647,57604,4105,157
2017,1,8.110369292,7.31872,7.69527,59763,4558,289
2017,2,7.991144638,7.39659,7.77287,60980,4505,368
2017,3,8.422579394,7.46211,7.83812,59293,4621,373
2017,4,8.258824746,7.51428,7.89002,58047,4427,367
2017,5,8.219811062,7.55233,7.9278,58432,4452,351
2017,6,8.242149124,7.57567,7.95088,59038,4447,419
2017,7,8.488517246,7.58394,7.95888,58479,4419,545
2017,8,8.533488883,7.57699,7.95167,58288,4369,605
2017,9,8.372921615,7.55489,7.9293,57256,4260,534
2017,10,8.168484785,7.51794,7.89208,57477,4223,472
2017,11,7.900310647,7.46664,7.84052,56656,4100,376
2017,12,7.73073889,7.4017,7.77532,57045,4091,319
2017,13,7.575893578,7.32404,7.69739,55703,3887,333
2017,14,7.409354605,7.23475,7.60783,55160,3821,266
2017,15,7.261989391,7.13508,7.5079,54861,3776,208
2017,16,6.87959299,7.02645,7.39901,53070,3489,162
2017,17,6.657284924,6.9104,7.28269,53295,3458,90
2017,18,6.401807927,6.78855,7.16058,52657,3308,63
2017,19,6.282581514,6.66265,7.03441,51985,3216,50
2017,20,6.200457317,6.53446,6.90595,52480,3201,53
2017,21,6.111198305,6.40579,6.77702,50972,3091,24
2017,22,5.934914937,6.27847,6.64943,51256,3019,23
2017,23,6.114590221,6.15427,6.52496,51418,3127,17
2017,24,6.079099159,6.03495,6.40538,50797,3069,19
2017,25,5.854087313,5.92218,6.29233,51195,2982,15
2017,26,5.855740166,5.81753,6.18741,50617,2954,10
2017,27,5.577032516,5.72244,6.09206,50959,2824,18
2017,28,6.10529686,5.63825,6.00759,49973,3047,4
2017,29,5.515989387,5.56609,5.93515,50127,2755,10
2017,30,5.785827155,5.50694,5.87573,49362,2853,3
2017,31,5.388623795,5.46159,5.8301,50087,2695,4
2017,32,5.430260565,5.43062,5.79885,50237,2722,6
2017,33,5.380093654,5.4144,5.78236,50185,2689,11
2017,34,5.579901852,5.41311,5.78078,49517,2756,7
2017,35,5.356861819,5.42667,5.79406,50832,2716,7
2017,36,5.565036584,5.45482,5.82193,50979,2825,12
2017,37,5.85754633,5.49707,5.8639,51694,3021,7
2017,38,5.760409143,5.55275,5.91928,51229,2935,16
2017,39,5.662031086,5.62096,5.98721,51342,2888,19
2017,40,5.830310707,5.70065,6.06661,52107,3022,16
2017,41,5.85338426,5.79059,6.15625,51577,3001,18
2017,42,6.097047222,5.8894,6.25477,52222,3156,28
2017,43,6.284376606,5.99559,6.36067,52543,3279,23
2017,44,6.05772635,6.10756,6.47234,53667,3215,36
2017,45,6.057475582,6.2236,6.58809,53240,3180,45
2017,46,6.258485688,6.34199,6.70619,53767,3315,50
2017,47,6.005173688,6.46095,6.82485,54120,3202,48
2017,48,6.530314098,6.5787,6.94229,54760,3493,83
2017,49,6.558143718,6.69347,7.05677,55595,3528,118
2017,50,6.839811748,6.80356,7.16656,57370,3759,165
2017,51,7.303587934,6.90732,7.27001,59505,3987,359
2017,52,8.330332297,7.00321,7.36559,61090,4418,671
2018,1,9.55786736,7.08978,7.45186,66134,5156,1165
2018,2,10.54744796,7.16574,7.52752,67495,5583,1536
2018,3,10.88681609,7.22996,7.59144,64647,5412,1626
2018,4,10.56865244,7.28147,7.64264,62780,5187,1448
2018,5,10.22895004,7.31948,7.68034,60974,4877,1360
2018,6,9.707085583,7.3434,7.70396,61110,4689,1243
2018,7,9.665601633,7.35286,7.71311,59779,4599,1179
2018,8,9.201806447,7.34769,7.70763,57793,4426,892
2018,9,8.435052565,7.32792,7.68756,56692,4044,738
2018,10,8.000980856,7.29381,7.65314,57093,4061,507
2018,11,7.62880375,7.24582,7.60484,56326,3853,444
2018,12,7.418498727,7.18461,7.54332,55766,3792,345
2018,13,7.398302924,7.11102,7.46942,54918,3779,284
2018,14,7.230440916,7.02609,7.38418,55294,3698,300
2018,15,6.887810531,6.931,7.28878,55228,3590,214
2018,16,6.628668715,6.82708,7.18455,54038,3429,153
2018,17,6.538611871,6.71581,7.07297,53727,3394,119
2018,18,6.148006178,6.59873,6.95558,53741,3198,106
2018,19,5.920736973,6.4775,6.83404,52105,3032,53
2018,20,5.922794263,6.35382,6.71005,50618,2955,43
2018,21,5.845392605,6.22942,6.58534,50929,2951,26
2018,22,5.74199236,6.10604,6.46165,51045,2905,26
2018,23,5.619122709,5.98541,6.34071,52001,2908,14
2018,24,5.738805535,5.8692,6.2242,51387,2935,14
2018,25,5.626518298,5.75904,6.11373,51044,2865,7
2018,26,5.65726084,5.65645,6.01082,50855,2868,9
2018,27,5.376905812,5.56283,5.9169,51684,2769,10
2018,28,5.442362915,5.47947,5.83324,51191,2781,5
2018,29,5.362682527,5.4075,5.76096,50609,2706,8
2018,30,5.388471178,5.34788,5.70103,50274,2697,12
2018,31,5.262950017,5.30138,5.65423,50637,2661,4
2018,32,5.264190555,5.26861,5.62115,50967,2673,10
2018,33,5.212620027,5.24995,5.60219,50301,2617,5
2018,34,5.396460493,5.24559,5.59752,50459,2713,10
2018,35,5.208353915,5.25551,5.60714,50611,2630,6
2018,36,5.477246069,5.27948,5.6308,50299,2749,6
2018,37,5.42059002,5.31706,5.66809,51083,2761,8
2018,38,5.486303627,5.36765,5.71837,51583,2819,11
2018,39,5.54955945,5.43041,5.78083,50959,2814,14
2018,40,5.689783601,5.50436,5.85449,52357,2969,10
2018,41,5.550733862,5.58836,5.93819,51849,2866,12
2018,42,5.67205874,5.68112,6.03065,52979,2987,18
2018,43,5.745587114,5.78121,6.13044,53763,3065,24
2018,44,5.645251501,5.88712,6.23606,53638,3003,25
2018,45,5.694441851,5.99725,6.34589,53561,3020,30
2018,46,5.79180226,6.10995,6.45829,54698,3142,26
2018,47,5.850821376,6.2235,6.57155,54847,3178,31
2018,48,6.038866691,6.33623,6.68398,55060,3287,38
2018,49,6.173280683,6.44643,6.79388,55967,3399,56
2018,50,6.387997233,6.55245,6.89962,56387,3551,51
2018,51,6.329606567,6.65273,6.9996,56528,3490,88
2018,52,6.739727983,6.74575,7.09232,56026,3635,141
2019,1,7.081953713,6.83012,7.1764,58289,3918,210
2019,2,7.389061241,6.90458,7.25058,58343,4051,260
2019,3,7.45935169,6.96802,7.31372,58182,4093,247
2019,4,7.209809076,7.01947,7.36488,57824,3894,275
2019,5,7.251763896,7.05816,7.40328,58110,3887,327
2019,6,7.276955169,7.08348,7.42831,58486,3890,366
2019,7,7.550689095,7.09504,7.43959,57902,3891,481
2019,8,7.689249226,7.09264,7.4369,57847,3973,475
2019,9,7.37183916,7.07628,7.42024,57896,3752,516
2019,10,7.33271757,7.04616,7.38984,58464,3744,543
2019,11,7.755073817,7.00268,7.34607,57846,3978,508
2019,12,7.486987154,6.94644,7.28954,57059,3792,480
2019,13,7.360392648,6.87822,7.22103,56641,3710,459
2019,14,7.015310633,6.79897,7.14149,56562,3628,340
2019,15,6.758073246,6.70979,7.05202,55430,3443,303
2019,16,6.634078212,6.61193,6.95388,54416,3410,200
2019,17,6.385996342,6.50678,6.84844,53586,3266,156
2019,18,6.151507286,6.39581,6.73718,53938,3220,98
2019,19,6.166807077,6.28057,6.62166,53415,3225,69
2019,20,5.971822564,6.16269,6.50349,53518,3146,50
2019,21,5.919101878,6.04382,6.38434,53623,3144,30
2019,22,5.970602757,5.92562,6.26585,52658,3115,29
2019,23,5.757781295,5.80976,6.1497,53076,3035,21
2019,24,5.598874139,5.69783,6.03749,52582,2928,16
2019,25,5.663628705,5.59141,5.93078,52228,2945,13
2019,26,5.57771981,5.49196,5.83105,52136,2893,15
2019,27,5.483198501,5.40087,5.73967,52287,2854,13
2019,28,5.350841673,5.31936,5.65788,51861,2764,11
2019,29,5.19211001,5.24856,5.5868,51559,2671,6
2019,30,5.353921359,5.18942,5.52736,51551,2752,8
2019,31,5.324728499,5.1427,5.48036,51289,2725,6
2019,32,5.116820165,5.10902,5.4464,51575,2632,7
2019,33,5.119078055,5.08877,5.42587,50849,2595,8
2019,34,5.09130939,5.08218,5.41899,50871,2584,6
2019,35,5.132476288,5.08927,5.42579,51028,2606,13
2019,36,4.99874209,5.10984,5.44608,51673,2571,12
2019,37,4.882554251,5.14352,5.47947,51428,2495,16
2019,38,5.259174446,5.18975,5.52542,51529,2696,14
2019,39,5.277989337,5.25223,5.5879,52520,2757,15
2019,40,5.185585308,5.32572,5.66139,51836,2672,16
2019,41,5.215053763,5.40917,5.74484,52080,2702,14
2019,42,5.51454706,5.50139,5.83706,53241,2919,17
2019,43,5.550313279,5.60106,5.93673,52988,2911,30
2019,44,5.39276926,5.70676,6.04243,52830,2819,30
2019,45,5.517815826,5.81696,6.15263,54025,2954,27
2019,46,5.583292969,5.9301,6.26578,53678,2958,39
2019,47,5.333835578,6.04456,6.38023,53095,2787,45
2019,48,5.433361307,6.15868,6.49435,51239,2726,58
2019,49,5.913451372,6.27084,6.60651,52017,2989,87
2019,50,6.164356898,6.37943,6.7151,51376,3079,88
2019,51,5.991911021,6.4829,6.81857,49450,2859,104
2019,52,6.155216663,6.57975,6.91543,47147,2761,141
2020,1,7.063791211,6.66862,7.00429,41918,2698,263
2020,2,6.736835224,6.74822,7.08389,30593,1862,199
