"Date","GOOG","SBUX","Mkt_Minus_Rf","SMB","HML","RF","Mom"
2008-02-08,0.0232498427358383,-0.0145708334500796,-0.003,-0.0015,-0.0032,7e-05,0.0171
2008-02-11,0.00865122223039005,0.0142387432749462,0.0058,-0.0023,-0.0057,7e-05,0.0097
2008-02-12,-0.00589070167131978,0.0102594992315022,0.0061,-0.0011,-4e-04,7e-05,-1e-04
2008-02-13,0.0319056317259718,0.00748269982082461,0.0146,0.0073,-4e-04,7e-05,0.0046
2008-02-14,-0.00443304430695923,-0.0355440434670765,-0.0135,-0.0078,0.0014,7e-05,0.0064
2008-02-15,-0.00490376414583493,0.00605073800846778,-2e-04,-0.0077,0.0038,7e-05,-0.0024
2008-02-19,-0.0390642027644316,-0.0103886420673268,-6e-04,0.0023,-0.0029,7e-05,0.0094
2008-02-20,9.82271023701742e-05,0.00884003591646998,0.0083,0.0029,3e-04,7e-05,-0.008
2008-02-21,-0.0120628569466261,-0.023548334630879,-0.0128,-0.0041,-0.0022,7e-05,0.0056
2008-02-22,0.00982378200544787,0.0235554885311453,0.0061,-0.008,0.0059,7e-05,-0.0055
2008-02-25,-0.0420638196181143,0.0136985747192195,0.0146,0.0054,-0.0012,7e-05,0.0011
2008-02-26,-0.0457404558735558,0.0302704326868921,0.0072,0.0046,-2e-04,7e-05,-0.0043
2008-02-27,0.0186777179205337,-0.0010494885258503,-0.0011,-5e-04,-0.0023,7e-05,-8e-04
2008-02-28,0.00535039021215966,-0.0246849508796433,-0.0093,-0.0043,-0.0051,7e-05,0.024
2008-02-29,-0.00885587657425624,-0.0317716534726176,-0.0264,-4e-04,-0.0012,7e-05,0.0103
2008-03-03,-0.0300521940134605,-0.0072299095883791,-4e-04,-0.0021,-0.0038,9e-05,0.0095
2008-03-04,-0.0271760690119486,0.00280097506434385,-0.0036,-0.0011,2e-04,9e-05,0.0017
2008-03-05,0.00697252830485362,0.0134077393168575,0.0056,-0.0019,-0.0041,9e-05,0.0107
2008-03-06,-0.0335045431480462,-0.0297687147138361,-0.0226,-0.005,-0.0024,9e-05,0.0191
2008-03-07,0.00150214738328214,-0.0284087126294805,-0.0088,0.0024,0.0067,9e-05,-0.0054
2008-03-10,-0.0455289887760165,-0.0175437863458635,-0.0172,-0.0069,0.0065,9e-05,0.0075
2008-03-11,0.0633915479165659,0.0559522564032338,0.0357,0.0039,0.002,9e-05,-0.0106
2008-03-12,0.000772971021242963,-0.00732825665464931,-0.0077,6e-04,-0.0071,9e-05,0.0085
2008-03-13,0.00642917882907801,0.00113549746852759,0.0065,0.0131,-0.0024,9e-05,0.0049
2008-03-14,-0.0114895631954275,-0.0136129465240988,-0.0207,-0.0028,-0.0031,9e-05,0.0123
2008-03-17,-0.0412175904459523,-0.00747547640001522,-0.0121,-0.0085,0.0055,9e-05,0.0108
2008-03-18,0.0459428395785175,0.0567782570767741,0.0409,0.0017,-0.002,9e-05,-0.0253
2008-03-19,-0.0163038688418597,-0.0405696103446056,-0.0237,-8e-04,0.0025,9e-05,-0.0096
2008-03-20,0.00358798170417907,0.00171408795210515,0.023,-2e-04,0.0081,9e-05,-0.0354
2008-03-24,0.0622995712996124,0.020536304063052,0.0171,0.0113,-0.0061,9e-05,-0.0135
2008-03-25,-0.0212349944582443,0.00558942575326649,0.0038,0.0039,-0.0019,9e-05,0.0067
2008-03-26,0.0164381620456424,-0.0183434012870565,-0.0082,0.0058,-0.0048,9e-05,0.0239
2008-03-27,-0.0307950899752664,-0.0022649697711834,-0.0113,-0.0021,-1e-04,9e-05,0.0086
2008-03-28,-0.0135110915854461,-0.0323492579053474,-0.0082,-0.0049,0.0019,9e-05,0.0173
2008-03-31,0.00545561744022871,0.0263928475894277,0.0057,0.0013,0.0049,9e-05,-0.0087
2008-04-01,0.057302438562981,0.0571426160643043,0.0337,-0.0061,5e-04,8e-05,-0.0307
2008-04-02,-2.14409991163844e-05,0.00540512636056656,-9e-04,0.0051,-0.0017,8e-05,0.002
2008-04-03,-0.0227184973025575,-0.0139779561491803,0.0014,-6e-04,-0.0017,8e-05,-0.0013
2008-04-04,0.0350896595599679,0.00872382942075411,0.0016,0,-0.0049,8e-05,0.0113
2008-04-07,0.0121632449631341,-0.0102704610088995,0.0014,-0.0037,0.0047,8e-05,-0.0049
2008-04-08,-0.0188960062489801,-0.0180228178030476,-0.0034,0.0036,-0.0012,8e-05,0.0138
2008-04-09,-0.007738171408042,-0.0283646326524557,-0.0096,-0.0088,-0.0014,8e-05,0.0179
2008-04-10,0.0105344673594496,0.00457920525500266,0.0053,0.0059,-0.0054,8e-05,0.0022
2008-04-11,-0.0247932279253307,-0.0165242578156594,-0.0202,-0.0054,0.005,8e-05,0.0012
2008-04-14,-0.0126571065157601,-0.0168018966883294,-0.0038,0.0013,-0.0028,8e-05,0.0142
2008-04-15,-0.010671746658938,0.0206244091553138,0.0046,0.0034,0.0037,8e-05,0.0025
2008-04-16,0.0183287251979847,0.0207857186171896,0.0227,0.0056,0.0011,8e-05,0.0033
2008-04-17,-0.0120651671568496,-0.00113154020133333,-0.001,-0.008,0.004,8e-05,-0.009
2008-04-18,0.199915447929595,0.0351079080418226,0.0167,0.0015,-0.0063,8e-05,-0.0094
2008-04-21,-0.00300328422805163,-0.0125822119099637,-0.0017,-0.0014,-0.0061,8e-05,0.009
2008-04-22,0.0320013744104135,-0.0193903704578456,-0.0097,-0.0109,0.0041,8e-05,0.0108
2008-04-23,-0.0153333125108321,0.00847453978170876,0.0026,0.0012,-0.0119,8e-05,0.0032
2008-04-24,-0.00631304719514003,-0.104201929581355,0.0066,0.0058,0.0047,8e-05,-0.0268
2008-04-25,0.00187828315410865,-0.00813013821458386,0.0068,-3e-04,0.002,8e-05,-0.0089
2008-04-28,0.0148145543391534,-0.0126102908659033,-3e-04,0.006,0.0013,8e-05,-0.0026
2008-04-29,0.0115011351125538,0.0344830470543989,-0.0036,-0.0042,0.0038,8e-05,-0.009
2008-04-30,0.0283273947724951,0.00185149112367755,-0.003,-5e-04,-2e-04,8e-05,0.0083
2008-05-01,0.0327186909043404,0.0258782548671772,0.0166,5e-04,0.0032,8e-05,-0.0212
2008-05-02,-0.0198792721107789,-0.011411621547666,0.002,-0.0072,0,8e-05,0.0015
2008-05-05,0.0234133820752973,-0.00729028546492017,-0.0041,0.0037,-0.0016,8e-05,0.011
2008-05-06,-0.0143552642589178,0.00122404355018113,0.0075,1e-04,0.004,8e-05,-4e-04
2008-05-07,-0.0125520222771981,-0.0250611965035561,-0.0166,2e-04,-0.0019,8e-05,0.0117
2008-05-08,0.00692568236112234,-0.00626956720007565,0.0037,7e-04,-0.0026,8e-05,0.0119
2008-05-09,-0.0168264852689487,0.000630792058751606,-0.0054,0.0065,-0.0025,8e-05,0.0041
2008-05-12,0.0204815186424265,0.0113495020439767,0.011,0.0066,-0.0037,8e-05,-0.0052
2008-05-13,-0.00331654942130499,-0.00561106819207347,9e-04,0.0063,-0.0012,8e-05,0.0076
2008-05-14,-0.0114922940595021,-0.00188081043279398,0.0038,-0.0045,0.0011,8e-05,-0.0094
2008-05-15,0.00815544843450189,0.00942207193130051,0.0102,-0.001,-0.0027,8e-05,-0.0043
2008-05-16,-0.00160066580057072,0.0609834843991826,0.001,-0.0037,0,8e-05,0.0092
2008-05-19,-0.00439600101657056,0.00117265226844299,-2e-04,-0.0023,0.0015,8e-05,0.0021
2008-05-20,0.00187010156106493,-0.0134739611964204,-0.008,0.0056,-0.0015,8e-05,0.0123
2008-05-21,-0.0494469572960758,-0.00950089572519808,-0.0156,0.0047,0.0026,8e-05,0.0103
2008-05-22,-0.00096364135579019,0.0245801176190397,0.0038,0.0024,8e-04,8e-05,-0.0062
2008-05-23,-0.0088087134331658,-0.00819214306797122,-0.0124,8e-04,-0.004,8e-05,0.0083
2008-05-27,0.02989246085602,0.0330385318631057,0.0072,0.0057,-0.0015,8e-05,-0.0021
2008-05-28,0.0130860599291187,0.018275661141917,0.0049,2e-04,-0.0013,8e-05,0.0073
2008-05-29,0.0259749644227025,0.0280421019561496,0.0061,0.0027,-0.002,8e-05,-0.0109
2008-05-30,0.00480275453584089,-0.00763769695820016,0.0029,0.0028,-4e-04,8e-05,0.0044
2008-06-02,-0.0184363841097245,-0.0142934073805716,-0.0098,0.0017,0.002,8e-05,0.0071
2008-06-03,-0.013391231070634,-0.0100390796069166,-0.0046,0.0022,3e-04,8e-05,-0.0021
2008-06-04,0.00867262871518193,0.020845174361658,2e-04,0.0051,-0.0067,8e-05,-6e-04
2008-06-05,0.0246058930451889,0.0220748326456375,0.0195,0.0043,-0.002,8e-05,0.0045
2008-06-06,-0.0329182626229912,-0.045896277465829,-0.029,0.0015,-9e-04,8e-05,0.018
2008-06-09,-0.0161022565587912,-0.00848879592425655,-3e-04,-0.0052,-0.0038,8e-05,0.0204
2008-06-10,-0.00663243166888849,0.0182649550156002,-0.0031,0,-0.0016,8e-05,-0.0049
2008-06-11,-0.0161864055692201,-0.0151349187945411,-0.0166,-0.0018,-5e-04,8e-05,0.0197
2008-06-12,0.014214986852352,0.0142291509653913,0.0031,-2e-04,5e-04,8e-05,-0.0067
2008-06-13,0.0335654765865054,0.0196409041987529,0.0155,0.0032,-0.0046,8e-05,-0.0031
2008-06-16,0.00227460646759359,0.00990582038711008,0.0015,0.0087,-9e-04,8e-05,-0.0016
2008-06-17,-0.00584831581407275,-0.012533573113786,-0.0055,0.0012,-0.0022,8e-05,0.0165
2008-06-18,-0.0124328777513253,-0.0193153306992653,-0.0096,0.0024,0.0016,8e-05,0.0124
2008-06-19,-0.00387630177164933,0.0123797444976419,0.0034,0.0045,-0.007,8e-05,-0.0051
2008-06-20,-0.0245805931637323,-0.0422456898434801,-0.0179,0.0037,0.0013,8e-05,0.0147
2008-06-23,-0.00223258177446062,-0.0539752244780609,-0.0016,-0.0059,-0.0035,8e-05,0.0317
2008-06-24,-0.00533746021662096,0.016564259323359,-0.0054,-0.0119,0.0028,8e-05,-0.0127
2008-06-25,0.0160428366520717,0.0325892857142858,0.0064,0.0027,-0.004,8e-05,-0.0084
2008-06-26,-0.0402540707892501,-0.0485096555235686,-0.0283,0.0055,0.0017,8e-05,0.0192
2008-06-27,-0.00141823801794905,0.00429964790607396,-0.0037,0.0023,-0.005,8e-05,0.0093
2008-06-30,-0.00312462647174361,-0.0373088856962357,-7e-04,-0.0112,0.0028,8e-05,0.0192
2008-07-01,0.0157859191920628,-0.00762391663775386,0.0029,-0.0041,0.0032,7e-05,0.005
2008-07-02,-0.0143811494569919,0.00384124364017491,-0.02,-0.009,0.0024,7e-05,7e-04
2008-07-03,0.0188979642597518,-0.0076530898974535,-0.0015,-0.0066,-0.0022,7e-05,0.0023
2008-07-07,0.0128678211740756,-0.0392032583540476,-0.0081,-0.0013,-0.0126,7e-05,0.0104
2008-07-08,0.019525251643584,0.0260871393772191,0.0184,0.0136,0.0227,7e-05,-0.03
2008-07-09,-0.0234071897881306,-0.0404171038409337,-0.0206,-0.0032,-0.0137,7e-05,0.0242
2008-07-10,-0.00180957897417355,-0.0237775577365523,0.0065,-0.0015,-0.0117,7e-05,0.0318
2008-07-11,-0.0125238781297217,-0.0215726704298641,-0.0088,0.0129,-0.0112,7e-05,0.0168
2008-07-14,-0.0228175413530002,-0.0042671036477121,-0.0093,-0.0051,-0.0244,7e-05,0.0264
2008-07-15,-0.0106015693125888,-0.0300001105753406,-0.0096,0.0088,-0.0122,7e-05,0.0017
2008-07-16,0.0378034637201861,0.0559646327232193,0.0252,0.0092,0.046,7e-05,-0.0584
2008-07-17,-0.00403282673692495,0.00348673598728744,0.0112,0.0064,0.0404,7e-05,-0.0577
2008-07-18,-0.0977054278036813,-0.00347462090154782,-8e-04,-0.0051,0.0111,7e-05,-0.0059
2008-07-21,-0.0260118393908423,-0.0174340121014352,0.0016,0.0028,-0.0054,7e-05,0.0076
2008-07-22,0.017726091479775,0.0738114024501144,0.0137,0.0149,0.0303,7e-05,-0.0435
2008-07-23,0.0253820128855857,0.0191672661389213,0.0032,0.0025,0.0149,7e-05,-0.0385
2008-07-24,-0.0277993784106041,-0.0570687563170159,-0.0231,0.001,-0.0281,7e-05,0.0382
2008-07-25,0.0343972348936128,-0.00825296310613466,0.0047,0.0069,-0.0096,7e-05,0.0132
2008-07-28,-0.0302044696678226,-0.0131762210978422,-0.0176,-0.0017,-0.0137,7e-05,0.0251
2008-07-29,0.0125544686258598,0.0534081059201326,0.0227,0.0021,0.032,7e-05,-0.0393
2008-07-30,-0.000848620321821203,-0.0213475444810681,0.0158,-0.0127,-5e-04,7e-05,0.0131
2008-07-31,-0.0185415730968296,0.00136371074785901,-0.0116,0.0059,0.0039,7e-05,-0.0093
2008-08-01,-0.0124327320231198,-0.0183799973541131,-0.0047,0.0075,0.009,6e-05,-0.0103
2008-08-04,-0.010387668237036,-0.0249655845587597,-0.0109,-0.0023,0.0037,6e-05,-0.0139
2008-08-05,0.0363930875541729,0.032717340929233,0.0265,-0.0038,0.0164,6e-05,-0.0328
2008-08-06,0.0135250495977335,0.0289253961661782,0.005,0.0033,-0.0107,6e-05,0.0083
2008-08-07,-0.0148456124855397,-0.0281122385295917,-0.0173,0.0034,-0.0175,6e-05,0.0206
2008-08-08,0.0331649594098509,0.0413221351147608,0.0228,0.0079,0.0123,6e-05,-0.0293
2008-08-11,0.0117775333232621,0.0780424130502857,0.0083,0.0152,0.0114,6e-05,-0.019
2008-08-12,0.00353407813763829,0.00368084910841837,-0.0105,0.0055,-0.0209,6e-05,0.0207
2008-08-13,-0.00513322142435291,-0.00366735014590358,-0.0015,0.0042,-0.0191,6e-05,0.0302
2008-08-14,0.0109193953180964,0.0380365609776518,0.0063,0.0028,0.0126,6e-05,-0.0198
2008-08-15,0.0092187371010588,-0.0135932699716429,0.0038,-0.0029,0.0102,6e-05,-0.0183
2008-08-18,-0.0232284761015359,-0.0107849424343583,-0.0145,9e-04,-0.0095,6e-05,0.0174
2008-08-19,-0.0156531592887402,-0.0339188721925229,-0.01,-0.0074,-0.0115,6e-05,0.0279
2008-08-20,-0.0112130483191539,-0.0112853105509793,0.0054,-0.0052,4e-04,6e-05,0.0079
2008-08-21,0.00315458816910263,-0.00570683470023714,0.0012,-0.0093,-0.0038,6e-05,0.0068
2008-08-22,0.00834485275772345,0.0229591178031474,0.0114,0.0059,0.0101,6e-05,-0.0186
2008-08-25,-0.0154507866843705,-0.0324187297129594,-0.0192,-0.0026,-0.005,6e-05,0.0098
2008-08-26,-0.0183226101784655,-0.000644664689960939,0.0033,-0.001,0.002,6e-05,0.0023
2008-08-27,-0.0117682028978069,0.00515788043207044,0.0088,0.0034,0.0039,6e-05,-0.0043
2008-08-28,0.0110973368903726,0.0250162123021012,0.0151,0.0042,0.0176,6e-05,-0.0203
2008-08-29,-0.0221410285949999,-0.0262828050690715,-0.0125,0.0029,0.0064,6e-05,-0.0047
2008-09-02,0.004230579199624,0.0115681670687058,-0.0044,0.0062,0.0192,7e-05,-0.0231
2008-09-03,-0.00180545672030152,0.0120710752512621,-0.0023,0.0079,0.0156,7e-05,-0.0165
2008-09-04,-0.0304687829975938,-0.0533583725187315,-0.029,4e-04,-0.0048,7e-05,0.0127
2008-09-05,-0.0133478275894803,0.00663142980916853,0.0042,-0.0056,0.0161,7e-05,-0.0086
2008-09-08,-0.0546989308396882,0.0237151868130283,0.0176,-8e-04,0.0213,7e-05,-0.021
2008-09-09,-0.00307180661675333,-0.0321750532800039,-0.0341,0.0042,-0.0078,7e-05,0.0095
2008-09-10,-0.0107485503514679,0.00132968678964018,0.007,0.0034,-0.0075,7e-05,0.0209
2008-09-11,0.047300558808272,0.0378485180008661,0.0122,-0.0088,0.0014,7e-05,0.0071
2008-09-12,0.00901437871930644,-0.0191933259685345,0.0029,-0.0017,-0.0013,7e-05,0.0109
2008-09-15,-0.00868251182259527,-0.0163081312747707,-0.0445,0.0089,-0.0226,7e-05,0.0295
2008-09-16,0.0209053645185733,0.0629972407604327,0.0165,0.0076,0.0202,7e-05,-4e-04
2008-09-17,-0.0642087944959617,-0.0280722492030552,-0.046,0.0024,-0.0212,7e-05,0.0186
2008-09-18,0.0593259008161431,0.0288830617091003,0.0441,0.0187,0.0477,7e-05,-0.0452
2008-09-19,0.0229342802674308,0.00686198650245196,0.0427,-0.0117,0.0386,7e-05,-0.036
2008-09-22,-0.042324356253311,-0.0545227973303388,-0.0394,-0.0012,-0.0336,7e-05,0.0264
2008-09-23,-0.00202261781237711,-0.0131062623733982,-0.0155,0,0.0017,7e-05,0.0029
2008-09-24,0.0136045243351397,-0.0112880407399922,-0.0032,-0.0129,-0.007,7e-05,0.0105
2008-09-25,0.0103192404738119,0.00268648356160295,0.017,-0.0102,0.0065,7e-05,-0.0045
2008-09-26,-0.0194722724783866,0.00200962379772318,0.0011,-0.006,0.0106,7e-05,-0.0043
2008-09-29,-0.116091341369669,-0.0528076953141107,-0.0826,0.0267,-0.0395,7e-05,0.0333
2008-09-30,0.0512336145338956,0.049399930248877,0.0488,-0.0285,0.0299,7e-05,-0.0267
2008-10-01,0.0279636365253033,-0.00470734944562001,-0.0047,-0.0064,0.0298,4e-05,-0.0178
2008-10-02,-0.0515641809665973,-0.0425674860200346,-0.042,-0.0059,0.0071,4e-05,0.0103
2008-10-03,-0.00916793948463857,-0.0359915794427473,-0.0147,-0.0124,-0.0122,4e-05,0.019
2008-10-06,-0.040577875283054,-0.0505125457996003,-0.0395,0,0.0042,4e-05,0.0099
2008-10-07,-0.0678860973969384,-0.0531998033003382,-0.0576,0.0041,-0.0346,4e-05,0.0309
2008-10-08,-0.0228317514302983,-0.0610748685016156,-0.0127,-0.0056,-0.0229,4e-05,0.0141
2008-10-09,-0.0270030752084272,-0.0450996398440399,-0.0735,-0.0062,-0.0253,4e-05,0.0209
