,year,month,day,hour,created,source,favoriteCount,retweetCount,picture,exclamation,hashtag,excl_hash,hr_bucket,hr1,hr2,hr3,hr4
71,2017,1,28,10,1/28/2017 15:42,iPhone,172116.0,33005,Picture/link,No,Yes,0,1,0,1,0,0
72,2017,1,28,8,1/28/2017 13:16,Android,107069.0,16238,No picture/link,No,No,1,1,0,1,0,0
73,2017,1,28,8,1/28/2017 13:08,Android,80715.0,13892,No picture/link,No,No,1,1,0,1,0,0
74,2017,1,28,8,1/28/2017 13:04,Android,111196.0,21106,No picture/link,Yes,No,0,1,0,1,0,0
75,2017,1,27,18,1/27/2017 23:46,iPhone,151203.0,29294,Picture/link,Yes,No,0,3,0,0,0,1
76,2017,1,27,17,1/27/2017 22:00,iPhone,113174.0,19314,Picture/link,Yes,No,0,2,0,0,1,0
77,2017,1,27,15,1/27/2017 20:20,iPhone,58372.0,10838,Picture/link,No,No,1,2,0,0,1,0
78,2017,1,27,11,1/27/2017 16:30,iPhone,89406.0,16282,Picture/link,Yes,Yes,1,1,0,1,0,0
79,2017,1,27,11,1/27/2017 16:27,iPhone,187677.0,46459,No picture/link,Yes,Yes,1,1,0,1,0,0
80,2017,1,27,8,1/27/2017 13:19,Android,162676.0,31205,No picture/link,Yes,No,0,1,0,1,0,0
81,2017,1,27,8,1/27/2017 13:12,Android,90017.0,17646,No picture/link,Yes,No,0,1,0,1,0,0
82,2017,1,26,18,1/26/2017 23:53,iPhone,114415.0,25299,Picture/link,Yes,No,0,3,0,0,0,1
83,2017,1,26,18,1/26/2017 23:45,iPhone,74506.0,10807,No picture/link,Yes,No,0,3,0,0,0,1
84,2017,1,26,14,1/26/2017 19:21,iPhone,73233.0,11423,Picture/link,No,No,1,2,0,0,1,0
85,2017,1,26,8,1/26/2017 13:55,Android,117668.0,28695,No picture/link,No,No,1,1,0,1,0,0
86,2017,1,26,8,1/26/2017 13:51,Android,108735.0,26447,No picture/link,No,No,1,1,0,1,0,0
87,2017,1,26,6,1/26/2017 11:04,Android,130574.0,28529,No picture/link,Yes,No,0,1,0,1,0,0
88,2017,1,25,21,1/26/2017 2:48,Android,54490.0,6586,No picture/link,Yes,No,0,3,0,0,0,1
89,2017,1,25,21,1/26/2017 2:45,Android,45298.0,6508,Picture/link,No,No,1,3,0,0,0,1
90,2017,1,25,21,1/26/2017 2:14,iPhone,154352.0,29463,Picture/link,No,No,1,3,0,0,0,1
91,2017,1,25,17,1/25/2017 22:05,iPhone,76723.0,12637,Picture/link,No,No,1,2,0,0,1,0
92,2017,1,25,7,1/25/2017 12:17,Android,134620.0,22177,No picture/link,Yes,No,0,1,0,1,0,0
93,2017,1,25,7,1/25/2017 12:13,Android,108953.0,19221,No picture/link,Yes,No,0,1,0,1,0,0
94,2017,1,25,7,1/25/2017 12:10,Android,132086.0,26443,No picture/link,No,No,1,1,0,1,0,0
95,2017,1,24,21,1/25/2017 2:37,Android,197791.0,55596,No picture/link,Yes,No,0,3,0,0,0,1
96,2017,1,24,21,1/25/2017 2:25,Android,213321.0,57443,No picture/link,Yes,No,0,3,0,0,0,1
97,2017,1,24,21,1/25/2017 2:16,Android,165513.0,32740,No picture/link,Yes,No,0,3,0,0,0,1
98,2017,1,24,19,1/25/2017 0:46,iPhone,102470.0,18970,Picture/link,No,No,1,3,0,0,0,1
99,2017,1,24,12,1/24/2017 17:49,iPhone,134058.0,26186,Picture/link,No,No,1,2,0,0,1,0
100,2017,1,24,12,1/24/2017 17:04,iPhone,100731.0,16554,Picture/link,Yes,Yes,1,2,0,0,1,0
101,2017,1,24,11,1/24/2017 16:58,iPhone,110967.0,21178,Picture/link,Yes,No,0,1,0,1,0,0
102,2017,1,24,6,1/24/2017 11:11,Android,157229.0,24160,No picture/link,Yes,No,0,1,0,1,0,0
103,2017,1,23,6,1/23/2017 11:38,Android,181518.0,27246,No picture/link,No,No,1,1,0,1,0,0
104,2017,1,22,9,1/22/2017 14:23,Android,396894.0,83594,No picture/link,No,No,1,1,0,1,0,0
105,2017,1,22,7,1/22/2017 12:51,Android,221340.0,41010,No picture/link,Yes,No,0,1,0,1,0,0
106,2017,1,22,7,1/22/2017 12:47,Android,217273.0,47019,No picture/link,Yes,No,0,1,0,1,0,0
107,2017,1,22,7,1/22/2017 12:35,Android,129633.0,17223,No picture/link,Yes,No,0,1,0,1,0,0
108,2017,1,21,6,1/21/2017 11:53,Android,180352.0,23745,No picture/link,Yes,No,0,1,0,1,0,0
109,2017,1,20,23,1/21/2017 4:56,iPhone,294135.0,53540,Picture/link,No,No,1,3,0,0,0,1
110,2017,1,20,13,1/20/2017 18:13,iPhone,93671.0,16900,Picture/link,No,No,1,2,0,0,1,0
111,2017,1,20,13,1/20/2017 18:00,iPhone,87800.0,14298,Picture/link,No,No,1,2,0,0,1,0
112,2017,1,20,12,1/20/2017 17:58,iPhone,59921.0,9344,Picture/link,No,No,1,2,0,0,1,0
113,2017,1,20,12,1/20/2017 17:55,iPhone,163889.0,38930,No picture/link,Yes,Yes,1,2,0,0,1,0
114,2017,1,20,12,1/20/2017 17:54,iPhone,176618.0,38447,No picture/link,Yes,No,0,2,0,0,1,0
115,2017,1,20,12,1/20/2017 17:54,iPhone,150426.0,35901,No picture/link,No,Yes,0,2,0,0,1,0
116,2017,1,20,12,1/20/2017 17:53,iPhone,221871.0,61991,No picture/link,No,No,1,2,0,0,1,0
117,2017,1,20,12,1/20/2017 17:52,iPhone,183171.0,43807,No picture/link,No,No,1,2,0,0,1,0
118,2017,1,20,12,1/20/2017 17:51,iPhone,92660.0,18829,No picture/link,No,Yes,0,2,0,0,1,0
119,2017,1,20,12,1/20/2017 17:51,iPhone,111355.0,20628,No picture/link,No,No,1,2,0,0,1,0
120,2017,1,20,7,1/20/2017 12:31,Android,272729.0,72495,No picture/link,Yes,No,0,1,0,1,0,0
121,2017,1,19,23,1/20/2017 4:24,iPhone,114630.0,21251,Picture/link,No,Yes,0,3,0,0,0,1
122,2017,1,19,19,1/20/2017 0:40,iPhone,168076.0,34851,Picture/link,Yes,No,0,3,0,0,0,1
123,2017,1,19,15,1/19/2017 20:21,iPhone,67194.0,12508,Picture/link,Yes,Yes,1,2,0,0,1,0
124,2017,1,19,15,1/19/2017 20:18,Android,66390.0,8549,No picture/link,Yes,No,0,2,0,0,1,0
125,2017,1,19,15,1/19/2017 20:13,iPhone,57293.0,9074,Picture/link,Yes,Yes,1,2,0,0,1,0
126,2017,1,19,8,1/19/2017 13:02,Android,162513.0,39755,No picture/link,Yes,No,0,1,0,1,0,0
127,2017,1,19,8,1/19/2017 13:00,Android,152523.0,26268,No picture/link,No,No,1,1,0,1,0,0
128,2017,1,19,7,1/19/2017 12:52,Android,126983.0,28211,No picture/link,Yes,No,0,1,0,1,0,0
129,2017,1,18,23,1/19/2017 4:01,iPhone,83635.0,16603,Picture/link,No,No,1,3,0,0,0,1
130,2017,1,18,20,1/19/2017 1:54,iPhone,65668.0,10214,Picture/link,Yes,Yes,1,3,0,0,0,1
131,2017,1,18,12,1/18/2017 17:33,iPhone,109537.0,21565,Picture/link,No,No,1,2,0,0,1,0
132,2017,1,18,9,1/18/2017 14:03,Android,66779.0,11551,No picture/link,Yes,No,0,1,0,1,0,0
133,2017,1,18,8,1/18/2017 13:06,Android,58277.0,10800,No picture/link,Yes,No,0,1,0,1,0,0
134,2017,1,18,8,1/18/2017 13:00,Android,59035.0,12171,No picture/link,No,No,1,1,0,1,0,0
135,2017,1,18,7,1/18/2017 12:44,Android,58783.0,11731,No picture/link,Yes,No,0,1,0,1,0,0
136,2017,1,18,7,1/18/2017 12:34,Android,48926.0,10381,No picture/link,No,No,1,1,0,1,0,0
137,2017,1,18,6,1/18/2017 11:53,Android,38019.0,5729,No picture/link,Yes,No,0,1,0,1,0,0
138,2017,1,17,9,1/17/2017 14:52,Android,65350.0,14262,No picture/link,Yes,No,0,1,0,1,0,0
139,2017,1,17,9,1/17/2017 14:46,Android,68144.0,16545,No picture/link,Yes,No,0,1,0,1,0,0
140,2017,1,17,9,1/17/2017 14:36,Android,57183.0,10622,No picture/link,No,No,1,1,0,1,0,0
141,2017,1,17,9,1/17/2017 14:30,Android,60107.0,11233,No picture/link,No,No,1,1,0,1,0,0
142,2017,1,17,8,1/17/2017 13:11,Android,108732.0,25013,No picture/link,No,No,1,1,0,1,0,0
143,2017,1,17,8,1/17/2017 13:05,Android,122835.0,25492,No picture/link,Yes,No,0,1,0,1,0,0
144,2017,1,16,21,1/17/2017 2:08,Android,47744.0,8329,No picture/link,No,No,1,3,0,0,0,1
145,2017,1,16,20,1/17/2017 1:49,Android,59237.0,11803,No picture/link,Yes,No,0,3,0,0,0,1
146,2017,1,16,20,1/17/2017 1:42,Android,62267.0,12738,No picture/link,Yes,No,0,3,0,0,0,1
147,2017,1,16,8,1/16/2017 13:54,Android,164089.0,38837,No picture/link,Yes,No,0,1,0,1,0,0
148,2017,1,15,19,1/16/2017 0:29,Android,60174.0,14305,No picture/link,Yes,No,0,3,0,0,0,1
149,2017,1,15,19,1/16/2017 0:16,Android,46272.0,11681,No picture/link,No,No,1,3,0,0,0,1
150,2017,1,15,17,1/15/2017 22:46,Android,86470.0,19299,No picture/link,Yes,No,0,2,0,0,1,0
151,2017,1,15,15,1/15/2017 20:13,Android,71772.0,15617,No picture/link,No,No,1,2,0,0,1,0
152,2017,1,15,15,1/15/2017 20:04,Android,71022.0,16429,No picture/link,No,No,1,2,0,0,1,0
153,2017,1,15,14,1/15/2017 19:00,Android,130506.0,30204,No picture/link,Yes,No,0,2,0,0,1,0
